ban_id,code_insee,commune,variantes,champs_divergents,ecart_position_m
35002_3n5z8h_00006,35002,Amanlis,2,lat|lon|x|y,54.6
35010_p63d6p_00026,35010,Baguer-Pican,2,cad_parcelles|lat|lon|x|y,88.4
35012_0226_00029,35012,Bain-de-Bretagne,2,lat|lon|x|y,22.0
35012_0240_00004,35012,Bain-de-Bretagne,2,lat|lon|x|y,43.7
35012_0300_00062,35012,Bain-de-Bretagne,2,lat|lon|x|y,17.7
35012_0300_00071,35012,Bain-de-Bretagne,2,lat|lon|x|y,60.8
35012_0340_00039,35012,Bain-de-Bretagne,2,lat|lon|x|y,19.2
35012_0420_00021,35012,Bain-de-Bretagne,2,lat|lon|x|y,17.9
35012_0477_00012,35012,Bain-de-Bretagne,2,lat|lon|x|y,203.3
35012_0540_00023,35012,Bain-de-Bretagne,2,lat|lon|x|y,12.7
35012_0560_00004,35012,Bain-de-Bretagne,2,lat|lon|x|y,29.9
35012_0686_00009,35012,Bain-de-Bretagne,2,lat|lon|type_position|x|y,283.9
35012_0686_00009_bis,35012,Bain-de-Bretagne,2,lat|lon|type_position|x|y,170.5
35012_0740_00029,35012,Bain-de-Bretagne,2,lat|lon|type_position|x|y,20.3
35013_0079_00001,35013,Bains-sur-Oust,2,lat|lon|type_position|x|y,71.8
35013_0079_00002,35013,Bains-sur-Oust,2,cad_parcelles|lat|lon|type_position|x|y,36.6
35013_0079_00003,35013,Bains-sur-Oust,2,cad_parcelles|lat|lon|type_position|x|y,49.1
35013_0079_00004,35013,Bains-sur-Oust,2,lat|lon|type_position|x|y,42.3
35013_0079_00005,35013,Bains-sur-Oust,2,cad_parcelles|lat|lon|type_position|x|y,52.6
35014_0011_00001,35014,Bais,2,certification_commune|lat|lon|x|y,111.0
35014_0049_00005_ter,35014,Bais,2,cad_parcelles|lat|lon|type_position|x|y,9.0
35014_vfnk8t_00003,35014,Bais,2,cad_parcelles|lat|lon|x|y,69.1
35015_dr2ejc_00018,35015,Balazé,2,lat|lon|x|y,16.5
35027_1vul81_00103,35027,Boisgervilly,2,lat|lon|x|y,252.9
35027_b723_00104,35027,Boisgervilly,2,cad_parcelles|lat|lon|type_position|x|y,38.8
35031_0010_00015,35031,La Bouëxière,2,certification_commune|lat|lon|type_position|x|y,64.9
35034_0040_00022,35034,La Boussac,2,cad_parcelles|lat|lon|x|y,6.4
35037_b519_00225,35037,Bréal-sous-Montfort,2,lat|lon|type_position|x|y,26.3
35040_0014_00004,35040,Breteil,2,cad_parcelles|certification_commune|lat|lon|x|y,75.9
35040_0014_00006,35040,Breteil,2,cad_parcelles|certification_commune|lat|lon|type_position|x|y,181.9
35040_0014_00010,35040,Breteil,2,cad_parcelles|certification_commune|lat|lon|type_position|x|y,217.4
35041_b61867_00002,35041,Brie,2,cad_parcelles|lat|lon|nom_ld|x|y,3010.3
35041_na6azq_00001,35041,Brie,2,cad_parcelles|lat|lon|x|y,36.0
35046_gbhl1c_00006,35046,Les Brulais,2,cad_parcelles|lat|lon|x|y,1138.5
35046_gbhl1c_00008,35046,Les Brulais,2,cad_parcelles|lat|lon|x|y,1164.6
35049_0275_00014,35049,Cancale,2,cad_parcelles|lat|lon|x|y,161.4
35049_0870_00023_a,35049,Cancale,2,cad_parcelles|certification_commune|lat|lon|type_position|x|y,25.7
35050_b470_00009,35050,Cardroc,2,certification_commune|lat|lon|x|y,0.9
35050_u2tyu6_00009_bis,35050,Cardroc,2,certification_commune|lat|lon|x|y,12.3
35054_1hruis_00262,35054,Chanteloup,2,cad_parcelles|lat|lon|x|y,112.3
35062_ys3rfi_00010,35062,La Chapelle-Fleurigné,2,lat|lon|x|y,11.2
35064_c160_00004,35064,La Chapelle-de-Brain,2,certification_commune|lat|lon|x|y,24.1
35068_0140_00002,35068,Châteaubourg,2,cad_parcelles|lat|lon|x|y,13.8
35070_0005_00005,35070,Châteauneuf-d'Ille-et-Vilaine,2,lat|lon|x|y,156.1
35070_0164_00045,35070,Châteauneuf-d'Ille-et-Vilaine,2,lat|lon|type_position|x|y,266.3
35082_0013_00009,35082,Coësmes,2,lat|lon|x|y,12.8
35082_0013_00017,35082,Coësmes,2,lat|lon|x|y,21.6
35085_w76kl7_00048,35085,Combourg,2,lat|lon|x|y,47.4
35086_0014_00024_bis,35086,Combourtillé,2,cad_parcelles|lat|lon|x|y,238.9
35092_a014_00008,35092,Cuguen,2,lat|lon|x|y,51.4
35093_0521_00009,35093,Dinard,2,certification_commune|lat|lon|x|y,194.9
35093_1065_00006_bis,35093,Dinard,2,cad_parcelles|certification_commune|lat|lon|x|y,143.9
