scope_type,scope_code,year,property_type,sales,q1_eur_m2,median_eur_m2,q3_eur_m2,reason
departement,35,2014,Appartement,1395,1552.0,2105.0,2853.0,
departement,35,2014,Maison,3682,1435.0,1875.0,2424.0,
departement,35,2015,Appartement,1557,1580.0,2226.0,2871.0,
departement,35,2015,Maison,4613,1426.0,1868.0,2347.0,
departement,35,2016,Appartement,1755,1562.0,2208.0,2955.0,
departement,35,2016,Maison,4878,1417.0,1868.0,2396.0,
departement,35,2017,Appartement,2024,1702.0,2344.0,3038.0,
departement,35,2017,Maison,5558,1426.0,1926.0,2468.0,
departement,35,2018,Appartement,1984,1717.0,2500.0,3337.0,
departement,35,2018,Maison,5483,1463.0,1970.0,2557.0,
departement,35,2019,Appartement,2108,1844.0,2674.0,3558.0,
departement,35,2019,Maison,6020,1508.0,2006.0,2667.0,
departement,35,2020,Appartement,1893,2080.0,3050.0,4068.0,
departement,35,2020,Maison,6131,1568.0,2107.0,2794.0,
departement,35,2021,Appartement,1278,2345.0,3418.0,4680.0,
departement,35,2021,Maison,5582,1725.0,2323.0,3055.0,
departement,35,2022,Appartement,875,2941.0,4110.0,5134.0,
departement,35,2022,Maison,4801,1989.0,2615.0,3373.0,
departement,35,2023,Appartement,705,2703.0,3848.0,5071.0,
departement,35,2023,Maison,3818,2000.0,2613.0,3299.0,
departement,35,2024,Appartement,659,2603.0,3958.0,5125.0,
departement,35,2024,Maison,3570,1948.0,2535.0,3187.0,
departement,35,2025,Appartement,712,2728.0,3998.0,5129.0,
departement,35,2025,Maison,4097,2031.0,2588.0,3227.0,
epci,200038990,2014,Appartement,3,,,,support insuffisant : 3 < 15
epci,200038990,2014,Maison,86,1083.0,1443.0,1633.0,
epci,200038990,2015,Appartement,4,,,,support insuffisant : 4 < 15
epci,200038990,2015,Maison,112,1039.0,1290.0,1575.0,
epci,200038990,2016,Maison,113,1024.0,1348.0,1618.0,
epci,200038990,2017,Appartement,1,,,,support insuffisant : 1 < 15
epci,200038990,2017,Maison,149,1081.0,1384.0,1644.0,
epci,200038990,2018,Appartement,5,,,,support insuffisant : 5 < 15
epci,200038990,2018,Maison,137,1163.0,1410.0,1767.0,
epci,200038990,2019,Appartement,4,,,,support insuffisant : 4 < 15
epci,200038990,2019,Maison,144,1229.0,1474.0,1790.0,
epci,200038990,2020,Appartement,3,,,,support insuffisant : 3 < 15
epci,200038990,2020,Maison,188,1226.0,1642.0,1892.0,
epci,200038990,2021,Appartement,5,,,,support insuffisant : 5 < 15
epci,200038990,2021,Maison,189,1386.0,1737.0,2046.0,
epci,200038990,2022,Appartement,1,,,,support insuffisant : 1 < 15
epci,200038990,2022,Maison,129,1743.0,2075.0,2376.0,
epci,200038990,2023,Appartement,3,,,,support insuffisant : 3 < 15
epci,200038990,2023,Maison,98,1694.0,2135.0,2528.0,
epci,200038990,2024,Appartement,5,,,,support insuffisant : 5 < 15
epci,200038990,2024,Maison,93,1614.0,1950.0,2289.0,
epci,200038990,2025,Appartement,8,,,,support insuffisant : 8 < 15
epci,200038990,2025,Maison,112,1767.0,2042.0,2376.0,
epci,200039022,2014,Appartement,43,1223.0,1596.0,1913.0,
epci,200039022,2014,Maison,300,1144.0,1531.0,1812.0,
epci,200039022,2015,Appartement,26,1289.0,1686.0,2036.0,
epci,200039022,2015,Maison,404,1248.0,1542.0,1875.0,
epci,200039022,2016,Appartement,38,1264.0,1550.0,1811.0,
epci,200039022,2016,Maison,381,1138.0,1561.0,1880.0,
epci,200039022,2017,Appartement,47,1227.0,1757.0,2111.0,
epci,200039022,2017,Maison,459,1166.0,1507.0,1868.0,
epci,200039022,2018,Appartement,30,1451.0,1749.0,2005.0,
epci,200039022,2018,Maison,477,1154.0,1577.0,1952.0,
epci,200039022,2019,Appartement,50,1300.0,1781.0,2188.0,
epci,200039022,2019,Maison,564,1198.0,1614.0,2000.0,
epci,200039022,2020,Appartement,64,1521.0,1830.0,2143.0,
epci,200039022,2020,Maison,561,1324.0,1703.0,2067.0,
epci,200039022,2021,Appartement,40,1532.0,2022.0,2657.0,
epci,200039022,2021,Maison,505,1379.0,1811.0,2289.0,
epci,200039022,2022,Appartement,18,1795.0,2231.0,2396.0,
epci,200039022,2022,Maison,462,1655.0,2050.0,2529.0,
epci,200039022,2023,Appartement,28,1947.0,2221.0,2568.0,
epci,200039022,2023,Maison,383,1738.0,2133.0,2639.0,
epci,200039022,2024,Appartement,17,1750.0,2449.0,2619.0,
epci,200039022,2024,Maison,315,1619.0,2017.0,2470.0,
epci,200039022,2025,Appartement,23,2275.0,2512.0,2930.0,
epci,200039022,2025,Maison,353,1667.0,2059.0,2540.0,
epci,200043990,2014,Appartement,1,,,,support insuffisant : 1 < 15
epci,200043990,2014,Maison,172,1125.0,1533.0,1826.0,
epci,200043990,2015,Appartement,2,,,,support insuffisant : 2 < 15
epci,200043990,2015,Maison,224,1189.0,1549.0,1860.0,
epci,200043990,2016,Appartement,1,,,,support insuffisant : 1 < 15
epci,200043990,2016,Maison,244,1106.0,1579.0,1818.0,
epci,200043990,2017,Appartement,11,,,,support insuffisant : 11 < 15
epci,200043990,2017,Maison,270,1174.0,1538.0,1861.0,
epci,200043990,2018,Appartement,5,,,,support insuffisant : 5 < 15
epci,200043990,2018,Maison,292,1288.0,1648.0,2007.0,
epci,200043990,2019,Appartement,9,,,,support insuffisant : 9 < 15
epci,200043990,2019,Maison,314,1233.0,1669.0,1999.0,
epci,200043990,2020,Appartement,5,,,,support insuffisant : 5 < 15
epci,200043990,2020,Maison,323,1369.0,1716.0,2132.0,
epci,200043990,2021,Appartement,4,,,,support insuffisant : 4 < 15
epci,200043990,2021,Maison,290,1502.0,1994.0,2309.0,
epci,200043990,2022,Appartement,2,,,,support insuffisant : 2 < 15
epci,200043990,2022,Maison,231,1827.0,2232.0,2615.0,
epci,200043990,2023,Appartement,2,,,,support insuffisant : 2 < 15
epci,200043990,2023,Maison,196,1545.0,2102.0,2500.0,
epci,200043990,2024,Appartement,3,,,,support insuffisant : 3 < 15
epci,200043990,2024,Maison,169,1781.0,2231.0,2530.0,
epci,200043990,2025,Appartement,2,,,,support insuffisant : 2 < 15
epci,200043990,2025,Maison,186,1795.0,2218.0,2513.0,
epci,200070662,2014,Appartement,6,,,,support insuffisant : 6 < 15
epci,200070662,2014,Maison,149,1139.0,1417.0,1633.0,
epci,200070662,2015,Appartement,5,,,,support insuffisant : 5 < 15
epci,200070662,2015,Maison,205,987.0,1393.0,1679.0,
epci,200070662,2016,Appartement,5,,,,support insuffisant : 5 < 15
epci,200070662,2016,Maison,184,955.0,1431.0,1720.0,
epci,200070662,2017,Appartement,7,,,,support insuffisant : 7 < 15
epci,200070662,2017,Maison,214,1084.0,1480.0,1725.0,
epci,200070662,2018,Appartement,4,,,,support insuffisant : 4 < 15
epci,200070662,2018,Maison,238,987.0,1429.0,1726.0,
epci,200070662,2019,Appartement,2,,,,support insuffisant : 2 < 15
epci,200070662,2019,Maison,245,1157.0,1602.0,1846.0,
epci,200070662,2020,Appartement,7,,,,support insuffisant : 7 < 15
epci,200070662,2020,Maison,235,1188.0,1565.0,1891.0,
epci,200070662,2021,Appartement,4,,,,support insuffisant : 4 < 15
epci,200070662,2021,Maison,207,1295.0,1715.0,2074.0,
epci,200070662,2022,Appartement,4,,,,support insuffisant : 4 < 15
epci,200070662,2022,Maison,175,1405.0,2080.0,2370.0,
epci,200070662,2023,Appartement,5,,,,support insuffisant : 5 < 15
epci,200070662,2023,Maison,146,1356.0,1929.0,2345.0,
epci,200070662,2024,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070662,2024,Maison,119,1523.0,2000.0,2298.0,
epci,200070662,2025,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070662,2025,Maison,143,1671.0,2147.0,2458.0,
epci,200070670,2014,Appartement,8,,,,support insuffisant : 8 < 15
epci,200070670,2014,Maison,81,1143.0,1448.0,1746.0,
epci,200070670,2015,Appartement,5,,,,support insuffisant : 5 < 15
epci,200070670,2015,Maison,96,1132.0,1378.0,1706.0,
epci,200070670,2016,Appartement,9,,,,support insuffisant : 9 < 15
epci,200070670,2016,Maison,87,1085.0,1429.0,1704.0,
epci,200070670,2017,Appartement,12,,,,support insuffisant : 12 < 15
epci,200070670,2017,Maison,117,1086.0,1418.0,1712.0,
epci,200070670,2018,Appartement,10,,,,support insuffisant : 10 < 15
epci,200070670,2018,Maison,131,957.0,1350.0,1742.0,
epci,200070670,2019,Appartement,13,,,,support insuffisant : 13 < 15
epci,200070670,2019,Maison,136,1058.0,1447.0,1839.0,
epci,200070670,2020,Appartement,10,,,,support insuffisant : 10 < 15
epci,200070670,2020,Maison,136,1212.0,1613.0,1906.0,
epci,200070670,2021,Appartement,12,,,,support insuffisant : 12 < 15
epci,200070670,2021,Maison,111,1311.0,1844.0,2278.0,
epci,200070670,2022,Appartement,18,1273.0,2048.0,2511.0,
epci,200070670,2022,Maison,103,1512.0,2125.0,2544.0,
epci,200070670,2023,Appartement,17,1267.0,2292.0,3000.0,
epci,200070670,2023,Maison,75,1537.0,2033.0,2477.0,
epci,200070670,2024,Appartement,14,,,,support insuffisant : 14 < 15
epci,200070670,2024,Maison,67,1470.0,1936.0,2539.0,
epci,200070670,2025,Appartement,12,,,,support insuffisant : 12 < 15
epci,200070670,2025,Maison,73,1712.0,2080.0,2602.0,
epci,200070688,2014,Maison,57,833.0,1145.0,1452.0,
epci,200070688,2015,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070688,2015,Maison,58,792.0,1081.0,1318.0,
epci,200070688,2016,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070688,2016,Maison,86,826.0,1075.0,1386.0,
epci,200070688,2017,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070688,2017,Maison,93,816.0,1121.0,1380.0,
epci,200070688,2018,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070688,2018,Maison,116,818.0,1211.0,1493.0,
epci,200070688,2019,Appartement,3,,,,support insuffisant : 3 < 15
epci,200070688,2019,Maison,111,853.0,1232.0,1553.0,
epci,200070688,2020,Appartement,2,,,,support insuffisant : 2 < 15
epci,200070688,2020,Maison,143,863.0,1278.0,1568.0,
epci,200070688,2021,Appartement,2,,,,support insuffisant : 2 < 15
epci,200070688,2021,Maison,131,1016.0,1404.0,1711.0,
epci,200070688,2022,Maison,105,1174.0,1566.0,1876.0,
epci,200070688,2023,Appartement,2,,,,support insuffisant : 2 < 15
epci,200070688,2023,Maison,82,1250.0,1627.0,2071.0,
epci,200070688,2024,Maison,85,1205.0,1581.0,1833.0,
epci,200070688,2025,Appartement,1,,,,support insuffisant : 1 < 15
epci,200070688,2025,Maison,86,864.0,1410.0,1841.0,
epci,200072452,2014,Appartement,61,746.0,896.0,1180.0,
epci,200072452,2014,Maison,198,1085.0,1388.0,1676.0,
epci,200072452,2015,Appartement,54,738.0,875.0,1122.0,
epci,200072452,2015,Maison,240,1074.0,1346.0,1648.0,
epci,200072452,2016,Appartement,93,830.0,1046.0,1333.0,
epci,200072452,2016,Maison,238,988.0,1345.0,1596.0,
epci,200072452,2017,Appartement,108,925.0,1324.0,2335.0,
epci,200072452,2017,Maison,276,1013.0,1395.0,1675.0,
epci,200072452,2018,Appartement,75,887.0,1115.0,1335.0,
epci,200072452,2018,Maison,271,1147.0,1417.0,1740.0,
epci,200072452,2019,Appartement,110,997.0,1210.0,1509.0,
epci,200072452,2019,Maison,324,1061.0,1362.0,1670.0,
epci,200072452,2020,Appartement,91,1185.0,1375.0,1612.0,
epci,200072452,2020,Maison,322,1229.0,1494.0,1796.0,
epci,200072452,2021,Appartement,66,1075.0,1366.0,1528.0,
epci,200072452,2021,Maison,327,1202.0,1582.0,1958.0,
epci,200072452,2022,Appartement,35,1425.0,1754.0,2033.0,
epci,200072452,2022,Maison,274,1413.0,1853.0,2231.0,
epci,200072452,2023,Appartement,30,1510.0,1771.0,2154.0,
epci,200072452,2023,Maison,213,1550.0,1918.0,2262.0,
epci,200072452,2024,Appartement,35,1345.0,1596.0,2112.0,
epci,200072452,2024,Maison,255,1429.0,1758.0,2213.0,
epci,200072452,2025,Appartement,34,1332.0,1638.0,2056.0,
epci,200072452,2025,Maison,235,1434.0,1860.0,2206.0,
epci,243500139,2014,Appartement,944,1667.0,2162.0,2820.0,
epci,243500139,2014,Maison,1220,1980.0,2400.0,2963.0,
epci,243500139,2015,Appartement,1074,1623.0,2232.0,2857.0,
epci,243500139,2015,Maison,1584,1940.0,2309.0,2839.0,
epci,243500139,2016,Appartement,1149,1630.0,2222.0,2952.0,
epci,243500139,2016,Maison,1629,1949.0,2338.0,2879.0,
epci,243500139,2017,Appartement,1318,1742.0,2314.0,2989.0,
epci,243500139,2017,Maison,1823,2030.0,2424.0,2976.0,
epci,243500139,2018,Appartement,1349,1798.0,2500.0,3269.0,
epci,243500139,2018,Maison,1746,2083.0,2504.0,3175.0,
epci,243500139,2019,Appartement,1319,1947.0,2679.0,3500.0,
epci,243500139,2019,Maison,1896,2161.0,2620.0,3354.0,
epci,243500139,2020,Appartement,1211,2241.0,3108.0,4050.0,
epci,243500139,2020,Maison,1833,2274.0,2774.0,3637.0,
epci,243500139,2021,Appartement,784,2631.0,3571.0,4718.0,
epci,243500139,2021,Maison,1701,2536.0,3058.0,3818.0,
epci,243500139,2022,Appartement,572,3338.0,4270.0,5203.0,
epci,243500139,2022,Maison,1509,2808.0,3346.0,4142.0,
epci,243500139,2023,Appartement,431,3140.0,4167.0,5189.0,
epci,243500139,2023,Maison,1208,2752.0,3264.0,4098.0,
epci,243500139,2024,Appartement,411,3134.0,4111.0,5170.0,
epci,243500139,2024,Maison,1103,2626.0,3059.0,3846.0,
epci,243500139,2025,Appartement,436,3198.0,4200.0,5227.0,
epci,243500139,2025,Maison,1355,2637.0,3082.0,3765.0,
epci,243500550,2014,Appartement,7,,,,support insuffisant : 7 < 15
epci,243500550,2014,Maison,126,1494.0,1798.0,1977.0,
epci,243500550,2015,Appartement,1,,,,support insuffisant : 1 < 15
epci,243500550,2015,Maison,126,1511.0,1754.0,1993.0,
epci,243500550,2016,Appartement,7,,,,support insuffisant : 7 < 15
epci,243500550,2016,Maison,148,1397.0,1667.0,1967.0,
epci,243500550,2017,Appartement,4,,,,support insuffisant : 4 < 15
epci,243500550,2017,Maison,176,1405.0,1729.0,1996.0,
epci,243500550,2018,Appartement,5,,,,support insuffisant : 5 < 15
epci,243500550,2018,Maison,157,1536.0,1838.0,2100.0,
epci,243500550,2019,Appartement,8,,,,support insuffisant : 8 < 15
epci,243500550,2019,Maison,187,1542.0,1928.0,2166.0,
epci,243500550,2020,Appartement,9,,,,support insuffisant : 9 < 15
epci,243500550,2020,Maison,199,1646.0,2000.0,2336.0,
epci,243500550,2021,Appartement,5,,,,support insuffisant : 5 < 15
epci,243500550,2021,Maison,178,1973.0,2319.0,2610.0,
