scope_type,scope_code,energy_label,sales,q1_ratio,median_ratio,q3_ratio,reason
departement,35,A,251,0.97,1.05,1.15,
departement,35,B,387,0.95,1.06,1.18,
departement,35,C,2462,0.91,1.01,1.13,
departement,35,D,2203,0.88,1.0,1.14,
departement,35,E,1037,0.82,0.97,1.14,
departement,35,F,524,0.81,0.97,1.13,
departement,35,G,233,0.82,0.99,1.14,
epci,200038990,A,9,,,,support insuffisant : 9 < 30
epci,200038990,B,9,,,,support insuffisant : 9 < 30
epci,200038990,C,23,,,,support insuffisant : 23 < 30
epci,200038990,D,40,0.92,1.09,1.24,
epci,200038990,E,13,,,,support insuffisant : 13 < 30
epci,200038990,F,9,,,,support insuffisant : 9 < 30
epci,200038990,G,8,,,,support insuffisant : 8 < 30
epci,200039022,A,13,,,,support insuffisant : 13 < 30
epci,200039022,B,29,,,,support insuffisant : 29 < 30
epci,200039022,C,142,0.94,1.02,1.13,
epci,200039022,D,145,0.91,1.01,1.12,
epci,200039022,E,81,0.79,1.0,1.13,
epci,200039022,F,47,0.79,0.96,1.08,
epci,200039022,G,17,,,,support insuffisant : 17 < 30
epci,200043990,A,15,,,,support insuffisant : 15 < 30
epci,200043990,B,18,,,,support insuffisant : 18 < 30
epci,200043990,C,102,0.96,1.02,1.14,
epci,200043990,D,72,0.89,1.01,1.1,
epci,200043990,E,35,0.78,1.0,1.16,
epci,200043990,F,14,,,,support insuffisant : 14 < 30
epci,200043990,G,11,,,,support insuffisant : 11 < 30
epci,200070662,A,4,,,,support insuffisant : 4 < 30
epci,200070662,B,10,,,,support insuffisant : 10 < 30
epci,200070662,C,54,0.9,1.0,1.1,
epci,200070662,D,32,0.9,0.99,1.13,
epci,200070662,E,11,,,,support insuffisant : 11 < 30
epci,200070662,F,4,,,,support insuffisant : 4 < 30
epci,200070662,G,5,,,,support insuffisant : 5 < 30
epci,200070670,A,0,,,,support insuffisant : 0 < 30
epci,200070670,B,1,,,,support insuffisant : 1 < 30
epci,200070670,C,8,,,,support insuffisant : 8 < 30
epci,200070670,D,6,,,,support insuffisant : 6 < 30
epci,200070670,E,5,,,,support insuffisant : 5 < 30
epci,200070670,F,4,,,,support insuffisant : 4 < 30
epci,200070670,G,1,,,,support insuffisant : 1 < 30
epci,200070688,A,1,,,,support insuffisant : 1 < 30
epci,200070688,B,3,,,,support insuffisant : 3 < 30
