scope_type,scope_code,cohort_parcels,sold_within_window,q1_days,median_days,q3_days,reason
departement,35,9653,3424,127.0,171.0,242.0,
epci,200038990,261,103,142.0,176.0,230.0,
epci,200039022,807,297,123.0,160.0,233.0,
epci,200043990,366,128,120.0,158.0,214.0,
epci,200070662,285,100,124.0,163.0,218.0,
epci,200070670,266,88,112.0,160.0,234.0,
epci,200070688,210,78,138.0,177.0,262.0,
epci,200072452,601,217,122.0,159.0,232.0,
epci,243500139,2971,1065,131.0,180.0,250.0,
epci,243500550,229,88,133.0,174.0,226.0,
epci,243500618,182,62,,,,support insuffisant : 182 < 200
epci,243500634,301,108,130.0,167.0,252.0,
epci,243500659,276,112,117.0,160.0,241.0,
epci,243500667,337,140,125.0,190.0,271.0,
epci,243500725,544,151,129.0,178.0,248.0,
epci,243500733,318,98,126.0,160.0,237.0,
epci,243500741,299,113,126.0,161.0,210.0,
epci,243500774,266,92,125.0,171.0,231.0,
epci,243500782,1134,384,126.0,174.0,253.0,
commune,35001,67,25,,,,support insuffisant : 67 < 200
commune,35002,14,6,,,,support insuffisant : 14 < 200
commune,35003,7,1,,,,support insuffisant : 7 < 200
commune,35004,42,11,,,,support insuffisant : 42 < 200
commune,35005,3,0,,,,support insuffisant : 3 < 200
commune,35006,48,20,,,,support insuffisant : 48 < 200
commune,35007,7,3,,,,support insuffisant : 7 < 200
commune,35008,8,1,,,,support insuffisant : 8 < 200
commune,35009,19,7,,,,support insuffisant : 19 < 200
commune,35010,6,3,,,,support insuffisant : 6 < 200
commune,35012,72,27,,,,support insuffisant : 72 < 200
commune,35013,28,15,,,,support insuffisant : 28 < 200
commune,35014,14,7,,,,support insuffisant : 14 < 200
commune,35015,13,6,,,,support insuffisant : 13 < 200
commune,35016,22,9,,,,support insuffisant : 22 < 200
commune,35017,12,4,,,,support insuffisant : 12 < 200
commune,35018,10,3,,,,support insuffisant : 10 < 200
commune,35019,21,4,,,,support insuffisant : 21 < 200
commune,35021,10,3,,,,support insuffisant : 10 < 200
commune,35022,14,3,,,,support insuffisant : 14 < 200
commune,35023,37,14,,,,support insuffisant : 37 < 200
commune,35024,91,35,,,,support insuffisant : 91 < 200
commune,35025,11,5,,,,support insuffisant : 11 < 200
commune,35026,2,2,,,,support insuffisant : 2 < 200
commune,35027,21,5,,,,support insuffisant : 21 < 200
commune,35028,2,1,,,,support insuffisant : 2 < 200
commune,35029,13,8,,,,support insuffisant : 13 < 200
commune,35030,7,0,,,,support insuffisant : 7 < 200
commune,35031,49,15,,,,support insuffisant : 49 < 200
commune,35032,33,14,,,,support insuffisant : 33 < 200
commune,35033,34,15,,,,support insuffisant : 34 < 200
commune,35034,7,2,,,,support insuffisant : 7 < 200
commune,35035,3,2,,,,support insuffisant : 3 < 200
commune,35037,53,20,,,,support insuffisant : 53 < 200
commune,35038,7,3,,,,support insuffisant : 7 < 200
commune,35039,23,11,,,,support insuffisant : 23 < 200
commune,35040,36,17,,,,support insuffisant : 36 < 200
commune,35041,9,4,,,,support insuffisant : 9 < 200
commune,35042,7,3,,,,support insuffisant : 7 < 200
commune,35044,5,3,,,,support insuffisant : 5 < 200
commune,35045,5,2,,,,support insuffisant : 5 < 200
commune,35046,3,2,,,,support insuffisant : 3 < 200
commune,35047,158,58,,,,support insuffisant : 158 < 200
commune,35049,102,34,,,,support insuffisant : 102 < 200
commune,35050,6,2,,,,support insuffisant : 6 < 200
commune,35051,140,47,,,,support insuffisant : 140 < 200
commune,35052,3,1,,,,support insuffisant : 3 < 200
commune,35054,9,4,,,,support insuffisant : 9 < 200
commune,35055,67,21,,,,support insuffisant : 67 < 200
commune,35056,2,1,,,,support insuffisant : 2 < 200
commune,35057,22,6,,,,support insuffisant : 22 < 200
commune,35058,10,2,,,,support insuffisant : 10 < 200
commune,35059,35,12,,,,support insuffisant : 35 < 200
commune,35060,11,6,,,,support insuffisant : 11 < 200
commune,35061,3,1,,,,support insuffisant : 3 < 200
commune,35062,18,6,,,,support insuffisant : 18 < 200
commune,35063,2,1,,,,support insuffisant : 2 < 200
commune,35064,9,5,,,,support insuffisant : 9 < 200
commune,35065,21,11,,,,support insuffisant : 21 < 200
commune,35066,92,36,,,,support insuffisant : 92 < 200
commune,35067,10,5,,,,support insuffisant : 10 < 200
commune,35068,67,26,,,,support insuffisant : 67 < 200
commune,35069,125,55,,,,support insuffisant : 125 < 200
commune,35070,30,11,,,,support insuffisant : 30 < 200
commune,35071,1,0,,,,support insuffisant : 1 < 200
commune,35072,18,8,,,,support insuffisant : 18 < 200
commune,35075,6,5,,,,support insuffisant : 6 < 200
commune,35076,47,19,,,,support insuffisant : 47 < 200
commune,35077,4,2,,,,support insuffisant : 4 < 200
commune,35078,15,5,,,,support insuffisant : 15 < 200
commune,35079,18,6,,,,support insuffisant : 18 < 200
commune,35080,26,12,,,,support insuffisant : 26 < 200
commune,35081,6,5,,,,support insuffisant : 6 < 200
commune,35082,15,6,,,,support insuffisant : 15 < 200
commune,35084,8,3,,,,support insuffisant : 8 < 200
commune,35085,69,30,,,,support insuffisant : 69 < 200
commune,35086,5,2,,,,support insuffisant : 5 < 200
commune,35087,11,3,,,,support insuffisant : 11 < 200
commune,35088,31,8,,,,support insuffisant : 31 < 200
commune,35089,2,0,,,,support insuffisant : 2 < 200
commune,35090,35,13,,,,support insuffisant : 35 < 200
commune,35091,6,5,,,,support insuffisant : 6 < 200
commune,35092,5,2,,,,support insuffisant : 5 < 200
commune,35093,316,72,129.0,162.0,254.0,
commune,35094,16,7,,,,support insuffisant : 16 < 200
commune,35095,77,25,,,,support insuffisant : 77 < 200
commune,35096,16,8,,,,support insuffisant : 16 < 200
commune,35097,14,5,,,,support insuffisant : 14 < 200
commune,35098,6,2,,,,support insuffisant : 6 < 200
commune,35099,35,12,,,,support insuffisant : 35 < 200
commune,35101,12,3,,,,support insuffisant : 12 < 200
commune,35102,4,2,,,,support insuffisant : 4 < 200
commune,35103,4,0,,,,support insuffisant : 4 < 200
commune,35104,13,5,,,,support insuffisant : 13 < 200
commune,35105,28,7,,,,support insuffisant : 28 < 200
commune,35106,12,3,,,,support insuffisant : 12 < 200
commune,35107,24,7,,,,support insuffisant : 24 < 200
commune,35108,11,5,,,,support insuffisant : 11 < 200
commune,35109,15,3,,,,support insuffisant : 15 < 200
commune,35110,2,1,,,,support insuffisant : 2 < 200
commune,35111,4,1,,,,support insuffisant : 4 < 200
commune,35115,261,92,124.0,172.0,234.0,
commune,35116,25,7,,,,support insuffisant : 25 < 200
commune,35117,10,4,,,,support insuffisant : 10 < 200
commune,35118,3,1,,,,support insuffisant : 3 < 200
commune,35119,7,5,,,,support insuffisant : 7 < 200
commune,35120,56,21,,,,support insuffisant : 56 < 200
commune,35121,17,4,,,,support insuffisant : 17 < 200
commune,35122,32,10,,,,support insuffisant : 32 < 200
commune,35123,27,8,,,,support insuffisant : 27 < 200
commune,35124,16,3,,,,support insuffisant : 16 < 200
commune,35125,53,22,,,,support insuffisant : 53 < 200
commune,35126,82,30,,,,support insuffisant : 82 < 200
commune,35127,34,10,,,,support insuffisant : 34 < 200
commune,35128,10,6,,,,support insuffisant : 10 < 200
commune,35130,32,9,,,,support insuffisant : 32 < 200
commune,35131,42,20,,,,support insuffisant : 42 < 200
commune,35132,20,7,,,,support insuffisant : 20 < 200
commune,35133,34,10,,,,support insuffisant : 34 < 200
