scope_type,scope_code,cohort_year,cohort_parcels,sold_within_12_months,rate_pct,reason
departement,35,2021,4783,2750,57.5,
epci,200038990,2021,111,59,,support insuffisant : 111 < 200
epci,200039022,2021,341,179,52.5,
epci,200043990,2021,127,68,,support insuffisant : 127 < 200
epci,200070662,2021,104,66,,support insuffisant : 104 < 200
epci,200070670,2021,108,56,,support insuffisant : 108 < 200
epci,200070688,2021,81,39,,support insuffisant : 81 < 200
epci,200072452,2021,235,138,58.7,
epci,243500139,2021,2199,1322,60.1,
epci,243500550,2021,95,48,,support insuffisant : 95 < 200
epci,243500618,2021,71,35,,support insuffisant : 71 < 200
epci,243500634,2021,101,61,,support insuffisant : 101 < 200
epci,243500659,2021,104,57,,support insuffisant : 104 < 200
epci,243500667,2021,125,79,,support insuffisant : 125 < 200
epci,243500725,2021,201,118,58.7,
epci,243500733,2021,105,50,,support insuffisant : 105 < 200
epci,243500741,2021,120,70,,support insuffisant : 120 < 200
epci,243500774,2021,113,44,,support insuffisant : 113 < 200
epci,243500782,2021,442,261,59.0,
commune,35001,2021,26,20,,support insuffisant : 26 < 200
commune,35002,2021,5,5,,support insuffisant : 5 < 200
commune,35003,2021,3,1,,support insuffisant : 3 < 200
commune,35004,2021,12,4,,support insuffisant : 12 < 200
commune,35005,2021,1,1,,support insuffisant : 1 < 200
commune,35006,2021,24,10,,support insuffisant : 24 < 200
commune,35007,2021,2,2,,support insuffisant : 2 < 200
commune,35008,2021,2,2,,support insuffisant : 2 < 200
commune,35009,2021,4,3,,support insuffisant : 4 < 200
commune,35010,2021,7,4,,support insuffisant : 7 < 200
commune,35012,2021,34,21,,support insuffisant : 34 < 200
commune,35013,2021,4,2,,support insuffisant : 4 < 200
commune,35014,2021,7,6,,support insuffisant : 7 < 200
commune,35015,2021,9,4,,support insuffisant : 9 < 200
commune,35016,2021,7,4,,support insuffisant : 7 < 200
commune,35017,2021,1,1,,support insuffisant : 1 < 200
commune,35018,2021,2,2,,support insuffisant : 2 < 200
commune,35019,2021,9,5,,support insuffisant : 9 < 200
commune,35021,2021,6,4,,support insuffisant : 6 < 200
commune,35022,2021,19,3,,support insuffisant : 19 < 200
commune,35023,2021,18,4,,support insuffisant : 18 < 200
commune,35024,2021,61,37,,support insuffisant : 61 < 200
commune,35025,2021,1,1,,support insuffisant : 1 < 200
commune,35027,2021,7,0,,support insuffisant : 7 < 200
commune,35028,2021,4,2,,support insuffisant : 4 < 200
commune,35029,2021,11,3,,support insuffisant : 11 < 200
commune,35030,2021,2,1,,support insuffisant : 2 < 200
commune,35031,2021,17,0,,support insuffisant : 17 < 200
commune,35032,2021,21,17,,support insuffisant : 21 < 200
commune,35033,2021,7,4,,support insuffisant : 7 < 200
commune,35034,2021,5,4,,support insuffisant : 5 < 200
commune,35035,2021,1,1,,support insuffisant : 1 < 200
commune,35037,2021,19,9,,support insuffisant : 19 < 200
commune,35039,2021,5,3,,support insuffisant : 5 < 200
commune,35040,2021,17,9,,support insuffisant : 17 < 200
commune,35041,2021,2,2,,support insuffisant : 2 < 200
commune,35042,2021,1,0,,support insuffisant : 1 < 200
commune,35044,2021,1,1,,support insuffisant : 1 < 200
commune,35045,2021,1,1,,support insuffisant : 1 < 200
commune,35047,2021,86,42,,support insuffisant : 86 < 200
commune,35049,2021,32,13,,support insuffisant : 32 < 200
commune,35050,2021,1,0,,support insuffisant : 1 < 200
commune,35051,2021,96,54,,support insuffisant : 96 < 200
commune,35052,2021,1,1,,support insuffisant : 1 < 200
commune,35054,2021,1,1,,support insuffisant : 1 < 200
commune,35055,2021,51,24,,support insuffisant : 51 < 200
commune,35056,2021,3,1,,support insuffisant : 3 < 200
commune,35057,2021,5,4,,support insuffisant : 5 < 200
commune,35058,2021,7,5,,support insuffisant : 7 < 200
commune,35059,2021,28,16,,support insuffisant : 28 < 200
commune,35060,2021,3,1,,support insuffisant : 3 < 200
commune,35061,2021,1,1,,support insuffisant : 1 < 200
commune,35062,2021,4,2,,support insuffisant : 4 < 200
commune,35063,2021,1,0,,support insuffisant : 1 < 200
commune,35064,2021,9,3,,support insuffisant : 9 < 200
commune,35065,2021,4,4,,support insuffisant : 4 < 200
commune,35066,2021,46,29,,support insuffisant : 46 < 200
commune,35067,2021,10,4,,support insuffisant : 10 < 200
commune,35068,2021,38,21,,support insuffisant : 38 < 200
commune,35069,2021,47,22,,support insuffisant : 47 < 200
commune,35070,2021,10,6,,support insuffisant : 10 < 200
commune,35071,2021,1,0,,support insuffisant : 1 < 200
commune,35072,2021,7,4,,support insuffisant : 7 < 200
commune,35075,2021,8,6,,support insuffisant : 8 < 200
commune,35076,2021,17,14,,support insuffisant : 17 < 200
commune,35077,2021,1,0,,support insuffisant : 1 < 200
commune,35078,2021,8,2,,support insuffisant : 8 < 200
commune,35079,2021,10,8,,support insuffisant : 10 < 200
commune,35080,2021,10,5,,support insuffisant : 10 < 200
commune,35081,2021,2,2,,support insuffisant : 2 < 200
commune,35082,2021,1,1,,support insuffisant : 1 < 200
commune,35085,2021,16,6,,support insuffisant : 16 < 200
commune,35086,2021,1,1,,support insuffisant : 1 < 200
commune,35087,2021,2,2,,support insuffisant : 2 < 200
commune,35088,2021,7,4,,support insuffisant : 7 < 200
commune,35089,2021,1,1,,support insuffisant : 1 < 200
commune,35090,2021,11,8,,support insuffisant : 11 < 200
commune,35092,2021,4,1,,support insuffisant : 4 < 200
commune,35093,2021,117,70,,support insuffisant : 117 < 200
commune,35094,2021,9,5,,support insuffisant : 9 < 200
commune,35095,2021,31,14,,support insuffisant : 31 < 200
commune,35096,2021,11,8,,support insuffisant : 11 < 200
commune,35097,2021,5,3,,support insuffisant : 5 < 200
commune,35098,2021,5,4,,support insuffisant : 5 < 200
commune,35099,2021,10,8,,support insuffisant : 10 < 200
commune,35101,2021,4,1,,support insuffisant : 4 < 200
commune,35103,2021,3,0,,support insuffisant : 3 < 200
commune,35104,2021,7,3,,support insuffisant : 7 < 200
commune,35105,2021,4,3,,support insuffisant : 4 < 200
commune,35106,2021,3,3,,support insuffisant : 3 < 200
commune,35107,2021,12,8,,support insuffisant : 12 < 200
commune,35108,2021,2,2,,support insuffisant : 2 < 200
commune,35109,2021,11,7,,support insuffisant : 11 < 200
commune,35110,2021,2,1,,support insuffisant : 2 < 200
commune,35111,2021,3,2,,support insuffisant : 3 < 200
commune,35114,2021,1,0,,support insuffisant : 1 < 200
commune,35115,2021,148,87,,support insuffisant : 148 < 200
commune,35116,2021,14,10,,support insuffisant : 14 < 200
commune,35117,2021,1,1,,support insuffisant : 1 < 200
commune,35118,2021,4,3,,support insuffisant : 4 < 200
commune,35119,2021,3,3,,support insuffisant : 3 < 200
commune,35120,2021,21,13,,support insuffisant : 21 < 200
commune,35121,2021,9,3,,support insuffisant : 9 < 200
commune,35122,2021,4,4,,support insuffisant : 4 < 200
