scope_type,scope_code,cohort_year,month,cohort_parcels,sold_cumulative,cumulative_pct,reason
departement,35,2024,1,9653,22,0.2,
departement,35,2024,2,9653,52,0.5,
departement,35,2024,3,9653,177,1.8,
departement,35,2024,6,9653,1852,19.2,
departement,35,2024,9,9653,2830,29.3,
departement,35,2024,12,9653,3391,35.1,
epci,200038990,2024,1,261,0,0.0,
epci,200038990,2024,2,261,0,0.0,
epci,200038990,2024,3,261,4,1.5,
epci,200038990,2024,6,261,57,21.8,
epci,200038990,2024,9,261,91,34.9,
epci,200038990,2024,12,261,103,39.5,
epci,200039022,2024,1,807,1,0.1,
epci,200039022,2024,2,807,3,0.4,
epci,200039022,2024,3,807,15,1.9,
epci,200039022,2024,6,807,173,21.4,
epci,200039022,2024,9,807,251,31.1,
epci,200039022,2024,12,807,294,36.4,
epci,200043990,2024,1,366,2,0.5,
epci,200043990,2024,2,366,5,1.4,
epci,200043990,2024,3,366,9,2.5,
epci,200043990,2024,6,366,81,22.1,
epci,200043990,2024,9,366,115,31.4,
epci,200043990,2024,12,366,128,35.0,
epci,200070662,2024,1,285,0,0.0,
epci,200070662,2024,2,285,0,0.0,
epci,200070662,2024,3,285,3,1.1,
epci,200070662,2024,6,285,61,21.4,
epci,200070662,2024,9,285,84,29.5,
epci,200070662,2024,12,285,99,34.7,
epci,200070670,2024,1,266,0,0.0,
epci,200070670,2024,2,266,1,0.4,
epci,200070670,2024,3,266,9,3.4,
epci,200070670,2024,6,266,52,19.5,
epci,200070670,2024,9,266,75,28.2,
epci,200070670,2024,12,266,87,32.7,
epci,200070688,2024,1,210,0,0.0,
epci,200070688,2024,2,210,1,0.5,
epci,200070688,2024,3,210,3,1.4,
epci,200070688,2024,6,210,41,19.5,
epci,200070688,2024,9,210,59,28.1,
epci,200070688,2024,12,210,76,36.2,
epci,200072452,2024,1,601,0,0.0,
epci,200072452,2024,2,601,0,0.0,
epci,200072452,2024,3,601,9,1.5,
epci,200072452,2024,6,601,128,21.3,
epci,200072452,2024,9,601,183,30.4,
epci,200072452,2024,12,601,216,35.9,
epci,243500139,2024,1,2971,12,0.4,
epci,243500139,2024,2,2971,28,0.9,
epci,243500139,2024,3,2971,67,2.3,
epci,243500139,2024,6,2971,537,18.1,
epci,243500139,2024,9,2971,865,29.1,
epci,243500139,2024,12,2971,1053,35.4,
epci,243500550,2024,1,229,0,0.0,
epci,243500550,2024,2,229,1,0.4,
epci,243500550,2024,3,229,2,0.9,
epci,243500550,2024,6,229,47,20.5,
epci,243500550,2024,9,229,78,34.1,
epci,243500550,2024,12,229,87,38.0,
epci,243500618,2024,1,182,1,,support insuffisant : 182 < 200
epci,243500618,2024,2,182,1,,support insuffisant : 182 < 200
epci,243500618,2024,3,182,6,,support insuffisant : 182 < 200
epci,243500618,2024,6,182,35,,support insuffisant : 182 < 200
epci,243500618,2024,9,182,55,,support insuffisant : 182 < 200
epci,243500618,2024,12,182,61,,support insuffisant : 182 < 200
epci,243500634,2024,1,301,0,0.0,
epci,243500634,2024,2,301,1,0.3,
epci,243500634,2024,3,301,3,1.0,
epci,243500634,2024,6,301,60,19.9,
epci,243500634,2024,9,301,87,28.9,
epci,243500634,2024,12,301,107,35.5,
epci,243500659,2024,1,276,1,0.4,
epci,243500659,2024,2,276,2,0.7,
epci,243500659,2024,3,276,7,2.5,
epci,243500659,2024,6,276,63,22.8,
epci,243500659,2024,9,276,94,34.1,
epci,243500659,2024,12,276,112,40.6,
epci,243500667,2024,1,337,0,0.0,
epci,243500667,2024,2,337,0,0.0,
epci,243500667,2024,3,337,5,1.5,
epci,243500667,2024,6,337,65,19.3,
epci,243500667,2024,9,337,104,30.9,
epci,243500667,2024,12,337,140,41.5,
epci,243500725,2024,1,544,1,0.2,
epci,243500725,2024,2,544,3,0.6,
epci,243500725,2024,3,544,9,1.7,
epci,243500725,2024,6,544,77,14.2,
epci,243500725,2024,9,544,123,22.6,
epci,243500725,2024,12,544,149,27.4,
epci,243500733,2024,1,318,0,0.0,
epci,243500733,2024,2,318,0,0.0,
epci,243500733,2024,3,318,4,1.3,
epci,243500733,2024,6,318,56,17.6,
epci,243500733,2024,9,318,85,26.7,
epci,243500733,2024,12,318,97,30.5,
epci,243500741,2024,1,299,0,0.0,
epci,243500741,2024,2,299,0,0.0,
epci,243500741,2024,3,299,3,1.0,
epci,243500741,2024,6,299,65,21.7,
epci,243500741,2024,9,299,99,33.1,
epci,243500741,2024,12,299,113,37.8,
epci,243500774,2024,1,266,1,0.4,
epci,243500774,2024,2,266,1,0.4,
epci,243500774,2024,3,266,1,0.4,
epci,243500774,2024,6,266,52,19.5,
epci,243500774,2024,9,266,78,29.3,
epci,243500774,2024,12,266,91,34.2,
epci,243500782,2024,1,1134,3,0.3,
epci,243500782,2024,2,1134,5,0.4,
epci,243500782,2024,3,1134,18,1.6,
epci,243500782,2024,6,1134,202,17.8,
epci,243500782,2024,9,1134,304,26.8,
epci,243500782,2024,12,1134,378,33.3,
