scope_type,scope_code,mutations,mutations_without_allocatable_price,share_without_allocatable_price_pct,diagnostics,diagnostics_without_building,share_without_building_pct,reason
commune,35001,1573,839,53.3,1080,234,21.7,
commune,35002,380,112,29.5,118,45,38.1,
commune,35003,212,40,18.9,85,25,29.4,
commune,35004,1012,398,39.3,406,148,36.5,
commune,35005,61,32,52.5,24,17,70.8,
commune,35006,1066,357,33.5,653,256,39.2,
commune,35007,92,15,16.3,28,7,25.0,
commune,35008,157,68,43.3,42,19,45.2,
commune,35009,528,207,39.2,222,73,32.9,
commune,35010,558,188,33.7,139,57,41.0,
commune,35011,38,15,39.5,0,0,,aucune observation
commune,35012,2289,942,41.2,1062,486,45.8,
commune,35013,1163,422,36.3,420,189,45.0,
commune,35014,705,244,34.6,229,95,41.5,
commune,35015,488,146,29.9,253,113,44.7,
commune,35016,557,143,25.7,186,61,32.8,
commune,35017,182,66,36.3,72,37,51.4,
commune,35018,327,152,46.5,96,58,60.4,
commune,35019,749,325,43.4,241,60,24.9,
commune,35021,306,77,25.2,138,60,43.5,
commune,35022,166,61,36.7,167,36,21.6,
commune,35023,1273,396,31.1,453,195,43.0,
commune,35024,2996,1521,50.8,1929,537,27.8,
commune,35025,255,80,31.4,103,35,34.0,
commune,35026,36,17,47.2,9,2,22.2,
commune,35027,524,161,30.7,208,83,39.9,
commune,35028,183,45,24.6,57,28,49.1,
commune,35029,594,231,38.9,209,79,37.8,
commune,35030,214,78,36.4,75,41,54.7,
commune,35031,1315,479,36.4,610,187,30.7,
commune,35032,1170,413,35.3,626,155,24.8,
commune,35033,770,232,30.1,289,114,39.4,
commune,35034,507,186,36.7,146,51,34.9,
commune,35035,220,56,25.5,28,20,71.4,
commune,35037,1685,577,34.2,827,335,40.5,
commune,35038,165,44,26.7,49,13,26.5,
commune,35039,522,118,22.6,324,41,12.7,
commune,35040,726,249,34.3,418,171,40.9,
commune,35041,184,53,28.8,75,15,20.0,
commune,35042,205,66,32.2,81,41,50.6,
commune,35044,149,65,43.6,32,13,40.6,
commune,35045,349,135,38.7,84,48,57.1,
commune,35046,200,70,35.0,52,24,46.2,
commune,35047,4620,2589,56.0,4090,1494,36.5,
commune,35048,41,5,12.2,0,0,,aucune observation
commune,35049,2492,1052,42.2,1234,496,40.2,
commune,35050,197,75,38.1,38,24,63.2,
commune,35051,5067,3300,65.1,3626,1094,30.2,
commune,35052,108,23,21.3,28,7,25.0,
commune,35053,58,13,22.4,0,0,,aucune observation
commune,35054,440,110,25.0,101,48,47.5,
commune,35055,2567,1813,70.6,2608,604,23.2,
commune,35056,206,73,35.4,78,24,30.8,
commune,35057,457,159,34.8,164,97,59.1,
commune,35058,335,113,33.7,107,39,36.4,
commune,35059,1380,682,49.4,739,163,22.1,
commune,35060,273,57,20.9,59,18,30.5,
commune,35061,196,72,36.7,63,31,49.2,
commune,35062,466,188,40.3,172,88,51.2,
commune,35063,138,40,29.0,31,12,38.7,
commune,35064,540,200,37.0,136,74,54.4,
commune,35065,414,107,25.8,371,159,42.9,
commune,35066,2338,1594,68.2,1590,425,26.7,
commune,35067,427,123,28.8,146,53,36.3,
commune,35068,1832,757,41.3,1135,326,28.7,
commune,35069,2746,1032,37.6,1387,448,32.3,
commune,35070,439,159,36.2,315,129,41.0,
