epci_code,commune_code,commune_name
200038990,35026,BLERUAIS
200038990,35027,BOISGERVILLY
200038990,35060,LA CHAPELLE DU LOU DU LAC
200038990,35091,LE CROUAIS
200038990,35117,GAEL
200038990,35135,IRODOUER
200038990,35143,LANDUJAN
200038990,35171,MEDREAC
200038990,35184,MONTAUBAN-DE-BRETAGNE
200038990,35201,MUEL
200038990,35234,QUEDILLAC
200038990,35290,SAINT-MALON-SUR-MEL
200038990,35295,SAINT-MAUGAN
200038990,35297,SAINT-MEEN-LE-GRAND
200038990,35302,SAINT ONEN LA CHAPELLE
200038990,35307,SAINT-PERN
200038990,35320,SAINT-UNIAC
200039022,35006,ARGENTRE-DU-PLESSIS
200039022,35008,AVAILLES-SUR-SEICHE
200039022,35014,BAIS
200039022,35015,BALAZE
200039022,35038,BREAL-SOUS-VITRE
200039022,35042,BRIELLES
200039022,35052,CHAMPEAUX
200039022,35061,LA CHAPELLE-ERBREE
200039022,35068,CHATEAUBOURG
200039022,35072,CHATILLON-EN-VENDELAIS
200039022,35087,CORNILLE
200039022,35096,DOMAGNE
200039022,35097,DOMALAIN
200039022,35102,DROUGES
200039022,35105,ERBREE
200039022,35109,ETRELLES
200039022,35119,GENNES-SUR-SEICHE
200039022,35125,LA GUERCHE-DE-BRETAGNE
200039022,35141,LANDAVRAN
200039022,35161,LOUVIGNE-DE-BAIS
200039022,35166,MARPIRE
200039022,35170,MECE
200039022,35183,MONDEVERT
200039022,35185,MONTAUTOUR
200039022,35192,MONTREUIL-DES-LANDES
200039022,35194,MONTREUIL-SOUS-PEROUSE
200039022,35198,MOULINS
200039022,35199,MOUSSE
200039022,35200,MOUTIERS
200039022,35217,LE PERTRE
200039022,35229,POCE-LES-BOIS
200039022,35232,PRINCE
200039022,35235,RANNEE
200039022,35252,SAINT-AUBIN-DES-LANDES
200039022,35260,SAINT-CHRISTOPHE-DES-BOIS
200039022,35264,SAINT-DIDIER
200039022,35272,SAINT-GERMAIN-DU-PINEL
200039022,35283,SAINT-JEAN-SUR-VILAINE
200039022,35300,SAINT-M'HERVE
200039022,35325,LA SELLE-GUERCHAISE
200039022,35330,TAILLIS
200039022,35338,TORCE
200039022,35347,VAL-D'IZE
200039022,35350,VERGEAL
200039022,35359,VISSEICHE
200039022,35360,VITRE
200043990,35016,BAULON
200043990,35033,BOURG-DES-COMPTES
200043990,35035,BOVEL
200043990,35046,LES BRULAIS
200043990,35057,LA CHAPELLE BOUEXIC
200043990,35084,COMBLESSAC
200043990,35123,GOVEN
200043990,35126,GUICHEN
200043990,35127,GUIGNEN
200043990,35149,LASSY
200043990,35155,LOHEAC
200043990,35160,LOUTEHEL
200043990,35168,VAL D'ANAST
200043990,35175,MERNEL
200043990,35176,GUIPRY-MESSAC
200043990,35289,SAINT-MALO-DE-PHILY
200043990,35311,SAINT-SEGLIN
200043990,35312,SAINT-SENOUX
200070662,35012,BAIN-DE-BRETAGNE
200070662,35030,LA BOSSE DE BRETAGNE
200070662,35054,CHANTELOUP
200070662,35089,LA COUYERE
200070662,35090,CREVIN
200070662,35098,LA DOMINELAIS
200070662,35106,ERCE-EN-LAMEE
200070662,35124,GRAND-FOUGERAY
200070662,35140,LALLEU
200070662,35202,LA NOE BLANCHE
200070662,35212,PANCE
200070662,35218,LE PETIT FOUGERAY
200070662,35221,PLECHATEL
200070662,35231,POLIGNE
200070662,35249,SAINTE ANNE SUR VILAINE
200070662,35316,SAINT-SULPICE-DES-LANDES
200070662,35321,SAULNIERES
200070662,35322,LE SEL DE BRETAGNE
200070662,35332,TEILLAY
200070662,35343,TRESBOEUF
200070670,35009,BAGUER-MORVAN
200070670,35010,BAGUER-PICAN
200070670,35034,LA BOUSSAC
200070670,35044,BROUALAN
200070670,35078,CHERRUEIX
200070670,35095,DOL DE BRETAGNE
200070670,35104,EPINIAC
200070670,35186,MONT-DOL
200070670,35222,PLEINE-FOUGERES
200070670,35246,ROZ-LANDRIEUX
200070670,35247,ROZ-SUR-COUESNON
200070670,35248,SAINS
200070670,35259,SAINT-BROLADRE
200070670,35270,SAINT-GEORGES-DE-GREHAIGNE
200070670,35291,SAINT-MARCAN
200070670,35329,SOUGEAL
200070670,35339,TRANS-LA-FORET
200070670,35354,VIEUX-VIEL
200070670,35361,LE VIVIER SUR MER
200070688,35004,VAL-COUESNON
200070688,35019,BAZOUGES-LA-PEROUSE
200070688,35071,LE CHATELLIER
200070688,35075,CHAUVIGNE
200070688,35164,MARCILLE-RAOUL
200070688,35191,LES PORTES DU COGLAIS
200070688,35205,NOYAL-SOUS-BAZOUGES
200070688,35242,RIMOU
200070688,35244,ROMAZY
200070688,35257,MAEN ROCH
