reference,cadastral_id,dpe_deposited_at,dpe_age_months,residual_probability,energy_label,label_rate,living_area_m2,built_year,parcel_area_m2,zone,last_mutation,diagnostics,dpe_address,latitude,longitude,map_url,position_missing
C001,35051000BH0260,2024-06-14,26,,C,0.3585746102449889,145.4,1995,607.988680367858,U|UE2c(d),,2,40 Rue des Gardes 35510 Cesson-Sévigné,48.12215744204486,-1.6184934496101158,"https://www.geoportail.gouv.fr/carte?c=-1.618493,48.122157&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C002,35051000AZ0656,2024-07-17,25,,D,0.3853884808658678,26.3,2003,670.757646172372,U|UE2c(d),,1,30 Rue de la Monniais 35510 Cesson-Sévigné,48.1059673517621,-1.609160111119764,"https://www.geoportail.gouv.fr/carte?c=-1.609160,48.105967&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C003,35051000AZ0490,2026-04-04,5,0.25846702317290554,B,0.406,171.8,2002,612.678384317348,U|UE2c(d),2023-07-28,3,38 Rue de l'Etournel 35510 Cesson-Sévigné,48.10800372293048,-1.60394390172642,"https://www.geoportail.gouv.fr/carte?c=-1.603944,48.108004&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C004,35051000ZS0045,2026-05-12,3,0.31695519348268836,F,0.48747591522157996,82.5,2004,535.337950934201,U|UE3,,3,4 Rue de la Plesse 35510 Cesson-Sévigné,48.09931130552975,-1.6031497219642006,"https://www.geoportail.gouv.fr/carte?c=-1.603150,48.099311&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C005,35051000AK0130,2024-08-30,24,,C,0.3585746102449889,,1979,607.63474304582,U|UE2c(d),,4,3 Rue du Hyl 35510 Cesson-Sévigné,48.11526405957813,-1.6317033235667635,"https://www.geoportail.gouv.fr/carte?c=-1.631703,48.115264&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C006,35051000AZ0593,2026-03-26,5,0.25846702317290554,C,0.3585746102449889,133,2004,587.247236743159,U|UE2c(d),,1,47 Rue des Ormeaux 35510 Cesson-Sévigné,48.10497370186661,-1.6054765074878297,"https://www.geoportail.gouv.fr/carte?c=-1.605477,48.104974&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C007,35051000AN0260,2026-08-19,0,0.21898355754857998,D,0.3853884808658678,80.1,1932,192.596519993645,U|UE2c(d),,1,Allée des Rosiers 35510 Cesson-Sévigné,48.115328141813094,-1.6261898052329014,"https://www.geoportail.gouv.fr/carte?c=-1.626190,48.115328&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C008,35051000AR0094,2026-07-17,1,0.26385421867199205,D,0.3853884808658678,13.4,1800,112.053546600202,U|UA1a,,5,2 Rue de la Fresnerie 35510 Cesson-Sévigné,48.11646560803541,-1.6054936642474493,"https://www.geoportail.gouv.fr/carte?c=-1.605494,48.116466&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C009,35051000AP0158,2024-06-13,26,,D,0.3853884808658678,193,1971,1417.12756413381,U|UE2c(d),,1,17 Rue des Lauriers 35510 Cesson-Sévigné,48.11854465792836,-1.6148968968302426,"https://www.geoportail.gouv.fr/carte?c=-1.614897,48.118545&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C010,35051000AZ0698,2024-05-06,28,,C,0.3585746102449889,188,2003,628.457931109487,U|UE2c(d),,1,47 Rue des Galardières 35510 Cesson-Sévigné,48.10554263157418,-1.6139164522248028,"https://www.geoportail.gouv.fr/carte?c=-1.613916,48.105543&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C011,35051000AW0141,2026-08-28,0,0.21898355754857998,D,0.3853884808658678,153,1962,388.638191802783,U|UE1a,,1,61 Rue de Rennes 35510 Cesson-Sévigné,48.1139038146128,-1.626184716942226,"https://www.geoportail.gouv.fr/carte?c=-1.626185,48.113904&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C012,35051000AB0054,2024-07-31,25,,D,0.3853884808658678,132,1974,638.836133708502,U|UE2c(d),,1,78 Rue de la Coulée 35510 Cesson-Sévigné,48.12308391271412,-1.6045446900199936,"https://www.geoportail.gouv.fr/carte?c=-1.604545,48.123084&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C013,35051000AK0102,2026-06-23,2,0.2943018159048215,D,0.3853884808658678,119.4,1980,715.241785507283,U|UE2c(d),,1,40 Rue du Hyl 35510 Cesson-Sévigné,48.11446124253168,-1.630024808010189,"https://www.geoportail.gouv.fr/carte?c=-1.630025,48.114461&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C014,35051000AH0126,2024-04-26,28,,D,0.3853884808658678,145,1978,477.218127115687,U|UE2c(d),2021-07-30,1,7 Rue de la Chesnaie 35510 Cesson-Sévigné,48.125254367279474,-1.5933197748859493,"https://www.geoportail.gouv.fr/carte?c=-1.593320,48.125254&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C015,35051000AD0060,2026-04-09,4,0.2964680212736943,D,0.3853884808658678,102.5,1978,217.726166816637,U|UE2c,2018-05-04,1,56 Rue des Petits Champs 35510 Cesson-Sévigné,48.12303318507871,-1.597185629089495,"https://www.geoportail.gouv.fr/carte?c=-1.597186,48.123033&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C016,35051000AN0182,2024-07-03,26,,C,0.3585746102449889,177.1,1983,903.75945732955,U|UE2c(d),2018-07-30,1,3 Rue de la Rabine 35510 Cesson-Sévigné,48.114766123860306,-1.6238248744935915,"https://www.geoportail.gouv.fr/carte?c=-1.623825,48.114766&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C017,35051000AN0364,2026-03-20,5,0.25846702317290554,D,0.3853884808658678,98.7,1974,173.273815720467,U|UE2c,,1,15 Rue du Grand Champ 35510 Cesson-Sévigné,48.1170434404398,-1.6225428437852407,"https://www.geoportail.gouv.fr/carte?c=-1.622543,48.117043&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C018,35051000AA0132,2024-06-02,27,,C,0.3585746102449889,152.2,1988,723.2016017722,U|UE2c(d),,1,17 Rue du Pressoir 35510 Cesson-Sévigné,48.124794012388136,-1.6091396282163388,"https://www.geoportail.gouv.fr/carte?c=-1.609140,48.124794&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C019,35051000AE0129,2024-05-28,27,,D,0.3853884808658678,80.5,1978,546.983339096108,U|UE2c(d),,1,22 Rue du Champ Gaudois 35510 Cesson-Sévigné,48.12423196349056,-1.594744109552573,"https://www.geoportail.gouv.fr/carte?c=-1.594744,48.124232&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C020,35051000YA0156,2024-08-20,24,,D,0.3853884808658678,130,1995,560.424520857616,U|UE2c(d),,1,15 Rue de la Garenne 35510 Cesson-Sévigné,48.11971695868507,-1.6194474056233474,"https://www.geoportail.gouv.fr/carte?c=-1.619447,48.119717&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C021,35051000AZ0561,2024-06-05,27,,C,0.3585746102449889,187.1,2003,678.850611807106,U|UE2c(d),,1,39 Rue de la Monniais 35510 Cesson-Sévigné,48.10530429645496,-1.6086682968830097,"https://www.geoportail.gouv.fr/carte?c=-1.608668,48.105304&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C022,35051000AB0186,2026-06-01,3,0.31695519348268836,C,0.3585746102449889,160.8,1973,530.697331527176,U|UE2c(d),2022-09-15,2,27 Rue de la Chalotais 35510 Cesson-Sévigné,48.12142055757486,-1.6044900574287604,"https://www.geoportail.gouv.fr/carte?c=-1.604490,48.121421&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C023,35051000AT0203,2026-04-22,4,0.2964680212736943,C,0.3585746102449889,95.1,1998,282.025063526928,U|UE2c,,1,29 Rue du Petit Marais 35510 Cesson-Sévigné,48.11243873449119,-1.616029406549371,"https://www.geoportail.gouv.fr/carte?c=-1.616029,48.112439&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C024,35051000BD0140,2026-05-26,3,0.31695519348268836,D,0.3853884808658678,234.4,1992,556.630712722928,U|UE2c(d),,1,21 Rue de la Pommeraie 35510 Cesson-Sévigné,48.12698772780641,-1.6032675703665251,"https://www.geoportail.gouv.fr/carte?c=-1.603268,48.126988&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C025,35051000AB0229,2026-03-18,5,0.25846702317290554,F,0.48747591522157996,102.4,1975,600.904962063895,U|UE2c(d),,2,6 Rue du Courtil 35510 Cesson-Sévigné,48.120250700122995,-1.6082129988249114,"https://www.geoportail.gouv.fr/carte?c=-1.608213,48.120251&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
