reference,property_unit_id,cadastral_id,origine
C001,property-unit:parcel:35051000ZV0194,35051000ZV0194,classement
C002,property-unit:parcel:35051000ZT0144,35051000ZT0144,classement
C003,property-unit:parcel:35051000ZS0176,35051000ZS0176,baseline+classement
C004,property-unit:parcel:35051000AY0071,35051000AY0071,classement
C005,property-unit:parcel:35051000ZV0320,35051000ZV0320,classement
C006,property-unit:parcel:35051000BE0017,35051000BE0017,classement
C007,property-unit:parcel:35051000ZT0062,35051000ZT0062,baseline
C008,property-unit:parcel:35051000AR0283,35051000AR0283,baseline+classement
C009,property-unit:parcel:35051000ZV0230,35051000ZV0230,baseline
C010,property-unit:parcel:35051000AY0064,35051000AY0064,baseline
C011,property-unit:parcel:35051000ZV0293,35051000ZV0293,baseline
C012,property-unit:parcel:35051000ZV0217,35051000ZV0217,baseline
C013,property-unit:parcel:35051000ZV0262,35051000ZV0262,baseline
C014,property-unit:parcel:35051000YD0141,35051000YD0141,classement
C015,property-unit:parcel:35051000YE0133,35051000YE0133,baseline+classement
C016,property-unit:parcel:35051000ZT0145,35051000ZT0145,baseline
C017,property-unit:parcel:35051000ZV0279,35051000ZV0279,baseline
C018,property-unit:parcel:35051000ZB0082,35051000ZB0082,baseline
C019,property-unit:parcel:35051000AL0015,35051000AL0015,classement
C020,property-unit:parcel:35051000AW0225,35051000AW0225,baseline
C021,property-unit:parcel:35051000YA0165,35051000YA0165,baseline+classement
C022,property-unit:parcel:35051000YH0008,35051000YH0008,classement
C023,property-unit:parcel:35051000AT0278,35051000AT0278,baseline
C024,property-unit:parcel:35051000AY0084,35051000AY0084,classement
C025,property-unit:parcel:35051000ZV0141,35051000ZV0141,baseline+classement
C026,property-unit:parcel:35051000BE0086,35051000BE0086,classement
C027,property-unit:parcel:35051000AK0347,35051000AK0347,classement
C028,property-unit:parcel:35051000ZV0136,35051000ZV0136,baseline
C029,property-unit:parcel:35051000AY0292,35051000AY0292,classement
C030,property-unit:parcel:35051000ZV0250,35051000ZV0250,baseline
C031,property-unit:parcel:35051000AS0337,35051000AS0337,classement
C032,property-unit:parcel:35051000YA0032,35051000YA0032,baseline+classement
C033,property-unit:parcel:35051000AW0231,35051000AW0231,baseline+classement
