reference,cadastral_id,parcel_area_m2,footprint_ratio,unbuilt_area_m2,width_m,boundary_distance_m,building_count,zone,last_mutation,dpe_label,dpe_note,risks
C001,35051000ZT0145,2003.56120234684,0.111044847294689,1781.07605458667,38.3652424043309,0,3,U|UE3,,,,clay
C002,35051000YB0151,1850.73646772654,0.0920571007022743,1680.36303434367,37.4252433480427,0,3,U|UE2h(d),2023-11-23,,,
C003,35051000ZY0198,2372.14801324347,0.113675861047213,2102.49204530658,42.7797742869223,2.41002763228276,2,U|UE2h(d),,,,
C004,35051000ZV0230,2058.61173705831,0.0968668455637317,1859.20051184899,38.9743992464888,4.99933521574419,1,U|UE3,,,,clay
C005,35051000ZB0082,2533.09453854153,0.0769187240857441,2338.25213864835,40.3624581329348,0,1,U|UE3,,,,clay
C006,35051000ZS0170,1203.95151131382,0.104742660590305,1077.84642679709,38.192921122372,0,2,U|UE3,,,,clay
C007,35051000YE0133,2320.19697952171,0.0670338897331719,2164.66515103721,62.6787851565274,0,3,U|UE3,,,,clay
C008,35051000YA0165,2210.02293527097,0.10472023139407,1978.5888221032,44.8227128348103,0,2,U|UE2h,,,,
C009,35051000ZV0250,2837.78900202571,0.0616582483790333,2662.81590289152,49.9261520810107,12.2886527867479,1,U|UE3,,,,clay
C010,35051000ZV0320,1221.74980625477,0.109725946968666,1087.69215180468,39.8921745476767,0,1,U|UE3,,,,clay
C011,35051000ZT0139,1835.4201717024,0.0960091645150793,1659.20301448312,40.3571798997763,0,2,U|UE3,,,,clay
C012,35051000ZV0217,1926.74311537267,0.158036945698276,1622.246518274,37.6396489686701,5.63584172057398,1,U|UE3,,,,clay
C013,35051000AW0225,2166.20373673848,0.0650235827588493,2025.34940879014,41.3278190016589,5.89294798679237,1,U|UE2c(d),,,,clay
C014,35051000ZE0186,2508.08499854196,0.0461844415690757,2392.25049347652,41.0724697157728,8.65023235183086,1,U|UE2h(d),,,,
C015,35051000ZV0293,2209.2263218364,0.075663835396357,2042.06778506767,45.6476584907752,3.47710118411068,1,U|UE3,,,plusieurs diagnostics — appariement ambigu,clay
C016,35051000AR0283,2852.09392644843,0.0853992347558275,2608.52728767799,60.5351702339118,0,7,U|UO1,,,,clay
C017,35051000BE0086,1630.9061641701,0.0710508220778634,1515.02894047396,41.3809257293299,0,2,U|UG2b,,,,"clay, sup_PM1"
C018,35051000ZB0107,1418.06971835164,0.0982594131698459,1278.73101999248,43.7851948567284,0,2,U|UE2c,,,,clay
C019,35051000ZS0176,2532.1456078739,0.132623655408895,2196.32320133008,54.8838536545885,0,2,U|UE3,2022-10-07,C,,"clay, sup_AC1"
C020,35051000AY0064,2506.95227589705,0.0869098963876216,2289.07331335012,51.4760567361938,0,2,U|UE2h,,,,clay
C021,35051000YC0199,1677.38834131215,0.103365760625521,1504.00381954804,33.9959542321009,0,2,U|UE2h(d),,,,clay
C022,35051000YH0008,1804.25318319984,0,1804.25318319984,35.1708203710429,0,1,U|UI1a(d),,,,
C023,35051000AL0015,1792.62277343965,0.128663480830753,1561.97768759243,45.7905487528881,0,2,U|UE2h,,,,clay
C024,35051000YD0141,1877.86736143199,0.101446753279913,1687.3638145244,30.2254531117995,0,3,U|UE2d,,,,
C025,35051000ZV0262,2022.03191420749,0.14108207687539,1736.75945224278,37.5603297529373,4.18813026760706,1,U|UE3,,,,clay
C026,35051000YA0032,2054.88857111573,0.115694354786659,1817.14956372202,46.3808798506331,0,2,U|UE2c(d),,,,clay
C027,35051000ZV0141,2420.40169550696,0.061514612898345,2271.51162214936,37.745549250915,0,7,U|UE3,,,,clay
C028,35051000AW0231,2644.96856125652,0.126981477257952,2309.10654604733,42.0852097506084,0,3,U|UE2c,,,,clay
C029,35051000ZV0136,2666.81364592674,0.0652650298483564,2492.76397372533,67.1992896389921,1.8574469038364,2,U|UE3,,,,clay
C030,35051000ZT0062,2240.92133046569,0.0513051442349733,2125.95053838692,30.7075196036129,6.74591291456979,1,U|UE3,,,,clay
C031,35051000ZT0144,1489.73884364103,0.103993249019862,1334.8160610997,34.5251723850347,0,4,U|UE3,,E,,clay
