reference,property_unit_id,cadastral_id,origine
C001,parcel:cadastre:35051000BH0260,35051000BH0260,classement
C002,parcel:cadastre:35051000AZ0656,35051000AZ0656,classement
C003,parcel:cadastre:35051000AZ0490,35051000AZ0490,baseline
C004,parcel:cadastre:35051000ZS0045,35051000ZS0045,baseline
C005,parcel:cadastre:35051000AK0130,35051000AK0130,classement
C006,parcel:cadastre:35051000AZ0593,35051000AZ0593,baseline
C007,parcel:cadastre:35051000AN0260,35051000AN0260,baseline
C008,parcel:cadastre:35051000AR0094,35051000AR0094,baseline
C009,parcel:cadastre:35051000AP0158,35051000AP0158,classement
C010,parcel:cadastre:35051000AZ0698,35051000AZ0698,classement
C011,parcel:cadastre:35051000AW0141,35051000AW0141,baseline
C012,parcel:cadastre:35051000AB0054,35051000AB0054,classement
C013,parcel:cadastre:35051000AK0102,35051000AK0102,baseline
C014,parcel:cadastre:35051000AH0126,35051000AH0126,classement
C015,parcel:cadastre:35051000AD0060,35051000AD0060,baseline
C016,parcel:cadastre:35051000AN0182,35051000AN0182,classement
C017,parcel:cadastre:35051000AN0364,35051000AN0364,baseline
C018,parcel:cadastre:35051000AA0132,35051000AA0132,classement
C019,parcel:cadastre:35051000AE0129,35051000AE0129,classement
C020,parcel:cadastre:35051000YA0156,35051000YA0156,classement
C021,parcel:cadastre:35051000AZ0561,35051000AZ0561,classement
C022,parcel:cadastre:35051000AB0186,35051000AB0186,baseline
C023,parcel:cadastre:35051000AT0203,35051000AT0203,baseline
C024,parcel:cadastre:35051000BD0140,35051000BD0140,baseline
C025,parcel:cadastre:35051000AB0229,35051000AB0229,baseline
C026,parcel:cadastre:35051000AS0017,35051000AS0017,baseline
C027,parcel:cadastre:35051000AK0249,35051000AK0249,classement
C028,parcel:cadastre:35051000AN0356,35051000AN0356,classement
C029,parcel:cadastre:35051000AB0203,35051000AB0203,classement
C030,parcel:cadastre:35051000AE0155,35051000AE0155,classement
C031,parcel:cadastre:35051000AW0043,35051000AW0043,baseline
C032,parcel:cadastre:35051000AW0123,35051000AW0123,baseline
C033,parcel:cadastre:35051000AA0311,35051000AA0311,baseline
C034,parcel:cadastre:35051000AR0102,35051000AR0102,classement
C035,parcel:cadastre:35051000ZT0172,35051000ZT0172,classement
C036,parcel:cadastre:35051000AK0196,35051000AK0196,classement
C037,parcel:cadastre:35051000AD0057,35051000AD0057,baseline
C038,parcel:cadastre:35051000ZT0144,35051000ZT0144,classement
